>Variable	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
YML051W	-0.167644293	-0.17	-0.22	0.06	-0.1	-0.092435486	0.08	-0.14	-0.1	-0.36
YDR405W	0.07	0.1	-0.04	-0.04	-0.25	-0.12	-0.03	0.04	0.39	-0.22
YBL050W	0.03	-0.1	0.04	-0.3	-0.2	-0.51	-0.07	-0.04	-0.04	0.03
YAL026C	0.01	-0.01	-0.2	-0.45	0.01	-0.6	-0.028401703	0.31	-0.1	0.34
YDL245C	-0.01	0.2	-0.03	0.14	-0.035144624	-0.09	-0.14	0.18	0.59	-0.17
YEL013W	-0.01	0.06	-0.084956676	-0.04	-0.2	-0.23	-0.039878719	-0.09	-0.23	0.08
YKL157W	0.25	0.04	0.33	0.33	0.07	0.12	-0.1	-0.12	0.12	-0.25
YGR256W	0.06	-0.23	0.4	0.3	0.32	0.24	0.21	0.21	-0.03	-0.27
YOR031W	0.15	-0.01	-0.2	-0.03	-0.18	-0.04	-0.12	-0.22	-0.109566134	-0.32
YMR152W	0.04	0.37	0.14	0.16	-0.4	-0.25	-0.1	-0.56	-0.17	-0.25
YBR037C	-0.34	-0.45	-0.09	-0.34	-0.03	-0.29	0.1	-0.04	-0.06	-0.133601831
YDR204W	-0.06	0.2	0.04	-0.22	-0.3	-0.54	-0.17	-0.67	-0.34	0.08
YKR066C	-0.18	-0.29	0.21	-0.17	0.03	-0.45	0.07	-0.38	-0.23	-0.07
